Error%   Diff  Days Miles Receipts Expected  Actual
271.6% +   874    4    69  2321.49   322.00 1196.47
247.4% +   401    1   451   555.49   162.18  563.37
191.1% +   854    1  1082  1809.49   446.94 1300.88
145.6% +   609    4   286  1063.49   418.17 1027.10
137.4% +   399    2   384   495.49   290.36  689.34
129.3% +   833    8   795  1645.99   644.69 1478.10
104.9% +   232    1   467   296.49   221.23  453.22
102.4% +   647    8   482  1411.49   631.81 1278.67
101.5% +   201    1   263   396.49   198.42  399.77
 93.8% +   628    5   516  1878.49   669.85 1297.95
 89.7% +   458    5   195  1228.49   511.23  969.63
 87.0% +   131    1   140   255.99   150.34  281.20
 83.6% +   733   14   481   939.99   877.17 1610.40
 72.7% +   656   11   740  1171.99   902.09 1558.20
 71.6% +   561    4   825   874.99   784.52 1346.00
 69.8% +   337    5   210   710.49   483.34  820.65
 65.6% +   412    6   204   818.99   628.40 1040.50
 61.0% +   433   13    63   107.92   710.25 1143.52
 60.6% +   184    3   127   293.49   303.20  486.90
 59.6% +   403    4   650   619.49   676.38 1079.80
 58.1% +   404   11   198   269.95   695.66 1099.59
 56.2% +   494    5  1076   190.33   879.65 1373.58
 54.7% +   391   13     8    78.44   713.71 1104.25
 54.7% +   155    1   452   275.05   282.89  437.57
 53.9% +   205    4    18   289.06   380.88  586.06
 53.8% +   498   14   296   485.68   924.90 1422.62
 53.7% +   322    6   170   476.99   600.23  922.60
 51.2% +   213    2   565   389.49   415.96  628.74
 50.5% +   437   14    68   438.96   866.76 1304.18
 50.2% +   336    4   724    89.99   667.98 1003.52
 49.6% +   177    1   532   413.99   355.57  532.10
 49.2% +   296    9    52   350.58   601.81  897.80
 47.6% +   230    7    83   137.84   482.65  712.60
 46.8% -   432    1    45  1070.22   922.69  490.68
 45.6% +   424    5   966   359.51   927.98 1351.53
 45.5% +   408   13   235   426.07   897.26 1305.27
 45.1% -   492    1    37  1397.17  1092.94  600.47
 44.1% +   260    1  1092   390.55   589.11  849.11
 43.7% +   393    5   955   106.86   897.78 1290.46
 43.7% +   352   13    32   232.43   805.12 1156.67
 43.4% -   553    2   165  1813.32  1273.45  720.58
 43.3% +   235    8    16   259.02   543.56  779.04
 43.0% -   552    2   299  1612.70  1282.80  730.72
 42.5% -   482    1    43  2149.22  1134.47  652.24
 42.3% +   324    5   754   489.99   765.13 1088.92
 42.3% +   333    3  1317   476.87   787.42 1120.63
 42.2% -   494    1   123  2076.65  1171.68  677.51
 41.9% +   464    6  1198   222.60  1107.96 1571.82
 41.7% +   218    6    45    81.59   522.58  740.58
 41.4% +   106    1   359   221.15   255.57  361.37
 41.4% -   463    1     9  2246.28  1120.22  656.79
 41.2% -   558    2   296  1878.70  1354.00  795.88
 40.9% +   188    4     6   458.70   459.21  646.96
 40.8% +   339   10   424   474.99   831.96 1171.35
 40.7% +   264    6   233   346.98   648.57  912.26
 40.1% -   445    1   309  1211.37  1110.55  665.58
 40.0% +   154    3   182   347.82   384.77  538.81
 40.0% -   405    2    91  1073.76  1013.78  608.60
 39.8% +   253    3  1074   247.32   636.02  889.18
 39.7% -   455    1   250  1300.17  1145.33  690.56
 39.7% -   591    2   634  1739.81  1490.51  899.27
 39.3% +   234    8    75   315.71   593.83  827.43
 39.1% -   892    7  1006  1181.33  2279.82 1388.21
 38.9% -   500    2   251  1916.43  1285.20  785.06
 38.8% +   502   14  1153   346.58  1292.93 1795.08
 38.7% +   165    4    11   312.01   426.22  591.18
 38.7% +   180    5   104   281.67   464.68  644.30
 38.6% +   157    3   224   358.77   406.36  563.18
 38.1% +   329   11   273   502.37   862.61 1191.44
 38.0% -   568    2   622  1871.56  1494.23  926.45
 37.7% +   477   14  1100   237.69  1265.57 1742.42
 37.6% -   507    2   267  2116.93  1349.04  842.38
 37.5% +   260    3  1061   388.50   693.36  953.60
 37.2% +   317   11   447   130.07   852.02 1169.32
 37.1% -   568    2   660  1944.40  1531.20  962.90
 36.8% +   289    3  1166   530.44   785.59 1074.90
 36.7% +   321   12   180   384.42   873.97 1195.10
 36.6% -   501    2   423  1639.17  1367.64  866.99
 36.6% +   320   12   128   477.17   874.99 1194.89
 35.9% -   761    7  1033  1013.03  2119.83 1359.10
 35.4% +   393   13   774   206.45  1110.00 1503.13
 35.4% +   381   11   816   544.99  1077.12 1457.93
 35.3% -   435    3   196  1211.68  1229.87  795.29
 35.2% +   275    4  1048   279.75   780.15 1054.94
 35.2% +   117    1   388   390.70   332.06  449.02
 35.2% -   780    8  1025  1031.33  2214.64 1434.83
 35.0% +   318   12   178   507.59   907.19 1225.00
 34.9% +   151    3   175   440.19   431.17  581.84
 34.8% -   453    2   252  1545.94  1300.19  847.48
 34.7% +   276   10   224   407.51   794.70 1070.68
 34.4% -   485    5    36  2022.94  1410.58  925.47
 34.2% -   514    5    41  2314.68  1500.28  986.72
 34.0% -   457    1   754  1220.47  1346.14  889.08
 33.9% -   579    7   381  2106.96  1705.27 1126.44
 33.8% -   503    5   262  1173.79  1485.59  983.04
 33.8% +   222    1  1060   501.67   658.14  880.55
 33.6% -   430    3   289  1245.67  1279.31  849.03
 33.1% +   178    5   230   333.69   538.36  716.61
 33.0% -   417    4    10  1262.73  1261.41  844.62
 33.0% -   441    3    91  1640.15  1338.30  896.83
 32.8% -   396    1   170  2452.85  1209.08  812.71
 32.8% -   444    2   753  1111.16  1353.87  910.35
 32.5% -   467    2   636  1438.19  1435.96  968.65
 32.5% -   495    2   785  1964.63  1522.76 1027.96
 32.5% +   272   10   377   301.96   837.36 1109.29
 32.4% -   425    5    96  1105.47  1312.16  887.32
 32.4% -   411    3    29  1632.85  1269.10  858.32
 32.4% -   391    2    18  2503.46  1206.95  816.30
 32.3% -   443    1   673  2026.16  1372.83  929.58
 32.3% -   444    1   716  1396.41  1376.59  932.42
 32.2% -   371    1   436  1358.14  1154.03  782.75
 31.9% -   544    7   381  2342.27  1705.24 1161.74
 31.8% -   549    5   654  1272.89  1724.68 1175.79
 31.8% -   445    4   199  1310.01  1400.57  955.55
 31.8% +   251   12    37    52.65   789.01 1039.62
 31.7% +   248   10    87   498.96   781.97 1030.20
 31.7% -   528    2  1189  1164.74  1666.52 1138.38
 31.7% -   368    2   616   968.93  1163.10  794.81
 31.7% -   291    2   274   888.24   917.79  627.18
 31.7% -   634    8   829  1147.89  2004.34 1369.89
 31.6% -   621    7   756  1473.59  1961.96 1341.28
 31.6% -   449    1   697  2148.50  1421.07  971.68
 31.6% -   498    2  1029  1702.60  1577.55 1079.57
 31.4% +   223    6   248   395.40   710.15  933.22
 31.4% -   421    3   375  1346.21  1339.93  919.17
 31.3% -   452    5   173  1337.90  1443.96  992.22
 31.2% -   455    7    15  2436.67  1459.63 1004.20
 31.2% -   427    1   678  1478.57  1370.31  942.94
